Captain,Span,Matches,Won,Lost,Tied,Captaincy_Style
Virender Sehwag,2006-2006,1,1,0,0,Aggressive
MS Dhoni,2007-2016,72,41,28,1,Defensive
Suresh Raina,2010-2011,3,3,0,0,Aggressive
Ajinkya Rahane,2015-2015,2,1,1,0,Defensive
Virat Kohli,2017-2021,50,30,16,2,Aggressive
Rohit Sharma,2017-2024,62,49,12,1,Aggressive
Shikhar Dhawan,2021-2021,3,1,2,0,Defensive
Rishabh Pant,2022-2022,5,2,2,0,Aggressive
Hardik Pandya,2022-2023,16,10,5,1,Aggressive
KL Rahul,2022-2022,1,1,0,0,Neutral
Jasprit Bumrah,2023-2023,2,2,0,0,Neutral
Ruturaj Gaikwad,2023-2023,3,2,0,0,Neutral
Suryakumar Yadav,2023-2024,17,13,3,1,Aggressive
Shubman Gill,2024-2024,5,4,1,0,Neutral
